ticker,security,sbti_company_name,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_year,net_zero_status,net_zero_year,full_target_language,date_updated
MAR,Marriott International,"Marriott International, Inc.",Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target: Marriott International, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: Marriott International commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by 2030 from a 2019 base year.* Marriott International also commits to reduce absolute scope 3 GHG emissions from fuel and energy-related activities, waste generated in operations, employee commuting, and franchises 27.5% within the same timeframe.* Marriott International commits that 22% of its suppliers by emissions covering purchased goods and services, capital goods, and upstream transportation and distribution will have science-based targets by 2028.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks. Long-Term Targets: Marriott International commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2019 base year.* Marriott International commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.*
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.",2024-04-25 01:00:00
MCD,McDonald's,McDonald's Corporation,Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target
McDonald’s Corporation commits to reach net-zero GHG emissions across the value chain
by 2050.
Near-Term Targets
Energy and industrial: McDonald’s Corporation commits to reduce absolute scope 1 and 2
GHG emissions 50.4% by 2030 from a 2018 base year. McDonald’s Corporation also commits
to reduce absolute scope 3 energy and industrial GHG emissions from purchased goods and
services, fuel and energy related activities, upstream transportation and distribution, waste
generated in operations, end-of-life treatment of sold products, and franchises 50.4% within
the same timeframe.
FLAG: McDonald’s Corporation commits to reduce absolute scope 3 FLAG GHG emissions 16%
by 2030 from a 2018 base year.* McDonald’s Corporation also commits to maintain no
deforestation across its primary deforestation-linked commodities.
Long-Term Targets
Energy and industrial: McDonald’s Corporation commits to reduce absolute scope 1, 2, and
energy and industrial scope 3 GHG emissions 90% by 2050 from a 2018 base year.
FLAG: McDonald’s Corporation also commits to reduce absolute scope 3 GHG emissions 72%
by 2050 from a 2018 base year.*
*Target includes FLAG emissions and removals.",2023-12-07 01:00:00
MCK,McKesson Corporation,McKesson Corporation,Targets set,1.5°C,FY2032,,,,,McKesson commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by FY2032 from a FY2020 base year. McKesson commits that 70% of its suppliers by spend covering purchased goods and services will have science_x0002_based targets by FY2027,2023-01-19 01:00:00
MCO,Moody's Corporation,Moody's Corporation,Targets set,1.5°C,2030.0,Targets set,2040.0,Targets set,2040.0,"Overall Net-Zero Target Moody’s Corporation commits to reach net-zero greenhouse gas emissions across the value chain by 2040 from a 2019 base year. Near-Term Targets Moody's Corporation commits to reduce absolute scope 1 and 2 emissions 50% by 2030 from a 2019 base year. Moody's Corporation also commits to reduce absolute scope 3 GHG emissions from fuel and energy related activities, business travel, and employee commuting 15% by 2025 from a 2019 base year. Moody's Corporation further commits that 60% of its suppliers by spend covering purchased goods and services, and capital goods will have science-based targets by 2025. Long-Term Targets Moody's Corporation commits to reduce absolute scope 1, 2, and 3 emissions 90% by 2040 from a 2019 base year.",2022-05-12 01:00:00
MDLZ,Mondelez International,Mondelez International Inc,Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Net-Zero Target
Mondelez International Inc commits to reach net-zero greenhouse gas emissions across the value chain by 2050.
Near-Term Targets
Energy & Industry:
Mondelez International Inc commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by 2030 from a 2018
base year.* Mondelez International Inc also commits to reduce absolute scope 3 GHG emissions 30% within the
same timeframe.
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.
FLAG:
Mondelez International Inc commits to reduce absolute scope 3 FLAG GHG emissions 36.4% by 2030 from a 2018
base year.* Mondelez International Inc commits to no deforestation across its primary deforestation-linked
commodities with a target date of December 31st 2025
*The target includes FLAG emissions and removals.
Long-term targets
Energy & Industry:
Mondelez International Inc commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2018
base year.* Mondelez International Inc also commits to reduce absolute scope 3 GHG emissions 90% within the
same timeframe.
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.
FLAG:
Mondelez International Inc commits to reduce absolute scope 3 FLAG GHG emissions 72% by 2050 from a 2018 base
year.*
*The target includes FLAG emissions and removals.",2024-04-11 01:00:00
MDT,Medtronic,Medtronic PLC,Targets set,1.5°C,FY2034,,,Commitment removed,,"Near-Term Targets: Medtronic PLC commits to reduce absolute scope 1 and 2 GHG emissions 52% by FY2030 from a FY2020 base year. Medtronic PLC also commits to increase active annual sourcing of renewable electricity from 1.29% in FY2020 to 100% by FY2030. Medtronic PLC further commits that 75% of its suppliers by emissions covering purchased goods and services and capital goods will have science-based targets by FY2030. Finally, Medtronic PLC commits to reduce absolute scope 3 GHG emissions from upstream transportation and distribution, business travel and end-of-life treatment of sold products 37.5% by FY2034 from a FY2024 base year.",2025-07-24 01:00:00
MET,MetLife,"MetLife, Inc.",Committed,,,,,,,,2016-04-20 01:00:00
META,Meta Platforms,"Meta Platforms, Inc.",Targets set,1.5°C,2031.0,,,Commitment removed,,"Meta commits to reduce absolute scope 1 and 2 GHG emissions 42% by
2031 from a 2021 base year. Meta also commits to continue annually
sourcing 100% renewable electricity through 2030. Meta further commits
that 76% of its suppliers by emissions covering purchased goods and
services and capital goods, will have science-based targets by 2026.",2024-02-29 01:00:00
MGM,MGM Resorts,MGM Resorts International,Targets set,1.5°C,2030.0,,,,,"MGM Resorts International commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year. MGM also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel-and energy-related activities, waste generated in operations, and employee commuting 30% within the same timeframe.",2023-05-04 01:00:00
MKC,McCormick & Company,"McCormick & Company, Incorporated",Targets set,1.5°C,FY2030,Targets set,FY2050,Targets set,FY2050,"Overall Net-Zero Target
McCormick & Company commits to reach net-zero greenhouse gas emissions across the
value chain by FY2050.
Near-Term Targets
McCormick & Company commits to reduce absolute scope 1 and 2 GHG emissions 42% by
FY2030 from a FY2020 base year. McCormick & Company also commits to reduce absolute
scope 3 GHG emissions from purchased goods and services 42% within the same timeframe.
Long-Term Targets
McCormick & Company commits to reduce absolute scope 1 and 2 GHG emissions 90% by
FY2050 from a FY2020 base year. McCormick & Company also commits to reduce absolute
scope 3 GHG emissions from purchased goods and services, capital goods, fuel and energy
related activities, upstream transportation and distribution, waste generated in operations,
business travel, and employee commuting 90% within the same timeframe.",2023-11-23 01:00:00
MLM,Martin Marietta Materials,"Martin Marietta Materials, Inc.",Targets set,1.5°C,2035.0,,,,,"Near-Term Targets:
Martin Marietta Materials, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 63.0% by 2035 from a 2023 base year.* Martin Marietta Materials, Inc. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel- and energy-related activities and upstream transportation and distribution 37.5% within the same timeframe.

*The target boundary includes land-related emissions and removals from biogenic feedstocks.",2026-03-12 01:00:00
MMM,3M,3M,Targets set,1.5°C,2030.0,,,,,3M commits to reduce absolute scope 1 and 2 GHG emissions 52.6% by 2030 from a 2019 base year. 3M also commits to reduce absolute scope 3 GHG emissions 42% by 2030 from a 2021 base year.,2024-10-03 01:00:00
MNST,Monster Beverage,Monster Beverage Corporation,Commitment removed,,,,,,,,2024-01-18 01:00:00
MO,Altria,"Altria Group, Inc.",Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall net-zero target:
Altria Group commits to reach net-zero greenhouse gas emissions across the value chain by 2050.
Near-term targets:
Energy & Industry: Altria commits to reduce absolute scope 1 and 2 GHG emissions 65% by 2030 from a 2022 base year. Altria also commits to increase active annual sourcing of renewable electricity from 0.34% in 2022 to 100% by 2030. Altria further commits to reduce absolute scope 3 GHG emissions 42% by 2030 from a 2022 base year.*
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.
FLAG: Altria commits to reduce absolute scope 3 FLAG GHG emissions 30.3% by 2030 from a 2022 base year.* Altria commits to no deforestation across its primary deforestation-linked commodities, with a target date of 2025.
*The target includes FLAG emissions and removals.
Long-term targets:
Energy & Industry: Altria commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2022 base year. Altria also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.*
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.
FLAG: Altria commits to reduce absolute scope 3 FLAG GHG emissions 72% by 2050 from a 2022 base year.*
*The target includes FLAG emissions and removals.
",2024-10-03 01:00:00
MRNA,Moderna,"Moderna, Inc.",Targets set,1.5°C,2030.0,Targets set,2045.0,Targets set,2045.0,"Overall Net-Zero Target: Moderna, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2045. Near-Term Targets: Moderna, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2030 from a 2021 base year. Moderna, Inc. commits that 85% of its suppliers by emissions covering purchased goods and services, capital goods and upstream transportation and distribution, will have science-based targets by 2028. Long-Term Targets: Moderna, Inc. commits to maintain a minimum of 90% absolute scopes 1 and 2 GHG emissions from 2030 through 2045 from a 2021 base year. Moderna, Inc. also commits to reduce absolute scope 3 GHG emissions emissions 90% by 2045 from a 2021 base year. ",2025-01-09 01:00:00
MRSH,Marsh McLennan,Marsh McLennan,Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target: Marsh McLennan commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: Marsh McLennan commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year. Marsh McLennan also commits to reduce scope 3 GHG emissions from purchased goods and services, capital goods, and business travel 55% per million USD of operating profit within the same timeframe. Long-Term Targets: Marsh McLennan commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2019 base year. Marsh McLennan also commits to reduce scope 3 GHG emissions from purchased goods and services, capital goods, upstream transportation and distribution, business travel, and employee commuting 97% per million USD of operating profit within the same timeframe.",2024-08-01 01:00:00
MRVL,Marvell Technology,Marvell Technology Inc.,Targets set,1.5°C,FY2030,,,Commitment removed,,Marvell Technology Inc. commits to reduce absolute scope 1 and 2 GHG emissions by 50% by FY2030 from a FY2022 base year. Marvell Technology Inc. also commits to reduce scope 3 GHG emissions from use of sold products by 55% per petabyte per second within the same timeframe.,2024-03-14 01:00:00
MSCI,MSCI,MSCI Inc.,Targets set,1.5°C,2030.0,Targets set,2040.0,Targets set,2040.0,"Overall Net-Zero Target MSCI commits to reach net-zero GHG emissions across the value chain by 2040 from a 2019 base year. Near-Term Targets MSCI commits to reduce absolute scope 1 and 2 GHG emissions 80% by 2030 from a 2019 base year. MSCI also commits to reduce absolute scope 3 GHG emissions 50% by 2030 from a 2019 base year. Long-Term Targets MSCI commits to reduce absolute scope 1, 2 and 3 GHG emissions 90% by 2040 from a 2019 base year.",2022-12-08 01:00:00
MSFT,Microsoft,Microsoft Corporation,Targets set,1.5°C,2030.0,,,Commitment removed,,American multinational technology company Microsoft commits to continue annually source 100% renewable electricity through 2030. Microsoft also commits to reduce scope 3 GHG emissions intensity per unit of revenue 30% by 2030 from a 2017 base year and to avoid growth in absolute scope 3 emissions.,2020-01-01 01:00:00
NDAQ,"Nasdaq, Inc.","Nasdaq, Inc.",Targets set,1.5°C,2032.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target: Nasdaq, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2050.  Near-Term Targets: Nasdaq, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2032 from a 2023 base year. Nasdaq, Inc. also commits to increase active annual sourcing of renewable electricity from 97% in 2023 to 100% by 2030. Nasdaq, Inc. further commits to reduce absolute scope 3 GHG emissions 50% by 2032 from a 2023 base year. Nasdaq, Inc. finally commits that 70% of its suppliers by spend, covering purchased goods and services and capital goods, will have science-based targets by 2029.  Long-Term Targets: Nasdaq, Inc. commits to maintain a minimum 90% absolute scope 1 and 2 GHG emissions reduction from 2032 through 2050 from a 2023 base year. Nasdaq, Inc. also commits to reduce absolute scope 3 GHG emissions 95% within the same timeframe.",2025-10-30 01:00:00
NEM,Newmont,Newmont Corporation,Targets set,Well-below 2°C,2030.0,,,,,Newmont commits to reduce absolute scope 1 and 2 GHG emissions 32% by 2030 from a 2018 base year. Newmont also commits to reduce scope 1 and 2 GHG emissions 32% per Gold Equivalent Ounce (GEO) within the same timeframe. Newmont commits to reduce absolute scope 3 GHG emissions 30% by 2030 from a 2019 base year.,2022-10-27 01:00:00
NFLX,Netflix,Netflix,Targets set,1.5°C,2030.0,,,Commitment removed,,Netflix commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by 2030 from a 2019 base year. Netflix also commits to reduce scope 3 GHG emissions 55% per million USD of value added within the same timeframe.,2023-03-30 01:00:00
NKE,"Nike, Inc.","NIKE, Inc.",Targets set,1.5°C,2030.0,,,,,"American multinational corporation NIKE, Inc. sets a target to reduce absolute scope 1 and 2 GHG emissions 65% by 2030 from a 2015 base year. NIKE, Inc. also sets a target to reduce absolute scope 3 GHG emissions 30% within the same timefram",2019-09-19 01:00:00
NOW,ServiceNow,ServiceNow Inc.,Targets set,1.5°C,2026.0,,,,,"ServiceNow Inc. commits to reduce absolute scope 1 and 2 GHG emissions 70% by 2026 from a 2019 base year. ServiceNow Inc. also commits to reduce scope 3 GHG emissions from business travel and employee commuting 40% per unit of value added within the same timeframe. ServiceNow Inc. further commits that 65% of its suppliers by spend covering purchased goods and services and capital goods, will have science_x0002_based targets by 2026.",2021-12-16 01:00:00
NRG,NRG Energy,NRG Energy Inc,Targets set,1.5°C,2025.0,,,Commitment removed,,"NRG Energy commits to reduce absolute scope 1, 2 and scope 3 business travel GHG emissions 50% by 2025 and 100% by 2050 from a 2014 base year.",2021-03-11 01:00:00
NSC,Norfolk Southern,Norfolk Southern Corporation,Targets set,Well-below 2°C,2034.0,,,,,Norfolk Southern commits to reduce scope 1 and 2 GHG emissions 42% per million gross ton-miles (MGTM) by 2034 from a 2019 base year*. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,2021-07-29 01:00:00
NTAP,NetApp,NetApp Inc.,Targets set,1.5°C,FY2030,,,,,"Near-Term Targets: NetApp, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50.8% by FY2030 from a FY2020 base year. NetApp, Inc. also commits to reduce scope 3 GHG emissions from use of sold products 51.6% per effective petabytes shipped by FY2030 from a FY2023 base year.",2025-01-16 01:00:00
NTRS,Northern Trust,Northern Trust,Committed,,,,,Committed,,,2022-09-15 01:00:00
NVDA,Nvidia,NVIDIA,Targets set,1.5°C,FY2030,,,,,Near-Term Targets: NVIDIA commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2030 from a FY2023 base year. NVIDIA also commits to reduce scope 3 GHG emissions from use of sold products 75% per PetaFLOP within the same timeframe.,2025-07-10 01:00:00
NXPI,NXP Semiconductors,NXP Semiconductors,Targets set,1.5°C,2030.0,,,,,NXP Semiconductors commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2021 base year. NXP Semiconductors also commits to reduce absolute scope 3 GHG emissions 35% by 2033 from a 2022 base year.,2024-07-25 01:00:00
OMC,Omnicom Group,Omnicom Group,Targets set,1.5°C,2030.0,,,,,"Omnicom Group commits to reduce absolute scope 1, 2, and 3 GHG
emissions 46.2% by 2030 from a 2019 base year.",2023-06-15 01:00:00
OTIS,Otis Worldwide,Otis Worldwide Corporation,Targets set,1.5°C,2033.0,,,,,"Otis Worldwide Corp commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2033 from a 2021 base year.* Otis Worldwide Corp also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, business travel, and use of sold products 33% within the same timeframe.
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.",2024-05-16 01:00:00
PANW,Palo Alto Networks,Palo Alto Networks,Targets set,1.5°C,FY2027,Targets set,FY2040,Targets set,FY2040,"Overall Net-Zero Target: Palo Alto Networks commits to reach net-zero greenhouse gas emissions across the value chain by FY2040. Near-Term Targets: Palo Alto Networks commits to reduce absolute scope 1 and 2 GHG emissions 35% by FY2027 from a FY2021 base year. Palo Alto Networks also commits to reduce scope 3 emissions from use of sold products 40% per million USD value added within the same timeframe. Palo Alto Networks finally commits that 65% of its suppliers by emissions covering purchased goods and services, will have science-based targets by FY2027. Long-Term Targets: Palo Alto Networks commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2040 from a FY2021 base year. Palo Alto Networks also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.",2024-09-19 01:00:00
PCAR,Paccar,PACCAR Inc,Targets set,Well-below 2°C,2030.0,,,,,PACCAR Inc commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2030 from a 2018 base year. PACCAR Inc commits to reduce scope 3 GHG emissions from use of sold products 25% per vkm by 2030 from a 2018 base year.,2021-05-06 01:00:00
PCG,PG&E Corporation,PG&E Corporation,Commitment removed,,,,,,,,2022-08-04 01:00:00
PEP,PepsiCo,"PepsiCo, Inc.",Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall net-zero target:
PepsiCo, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2050.
Near-term targets:
Energy & Industry: PepsiCo, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2022 base year.* PepsiCo,
Inc. also commits to reduce absolute scope 3 GHG emissions rom purchased goods and services, fuel and energy related activities, business
travel, downstream transportation and distribution and franchises 42% within the same timeframe.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.
FLAG: PepsiCo, Inc. commits to reduce absolute scope 3 FLAG GHG emissions 30.3% by 2030 from a 2022 base year.** PepsiCo, Inc. also
commits to no deforestation across its primary deforestation-linked commodities, with a target date of December 31, 2025.
**The target includes FLAG emissions and removals.
Long-term targets:
Energy & Industry: PepsiCo, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2022 base year.* PepsiCo,
Inc. also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.
FLAG: PepsiCo, Inc. commits to reduce absolute scope 3 FLAG GHG emissions 72% by 2050 from a 2022 base year.**
**The target includes FLAG emissions and removals.",2025-05-29 01:00:00
PFE,Pfizer,Pfizer Inc.,Targets set,1.5°C,2030.0,,,Commitment removed,,"Pfizer Inc. commits to reduce absolute scope 1 and 2 GHG emissions 46% by 2030 from a 2019 base year. Pfizer Inc. commits to increase annual sourcing of renewable electricity from 9% in 2019 to 100% by 2030. Pfizer Inc. commits to reduce absolute scope 3 emissions 25% from business travel by 2025 from a 2019 base year. Pfizer Inc. commits to reduce absolute scope 3 emissions 10% from upstream transportation and distribution by 2025 from a 2019 base year. Pfizer Inc. also commits that 64% of its suppliers by spend covering purchased goods & services, will have science-based targets by 2025. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",2022-06-02 01:00:00
PFG,Principal Financial Group,"Principal Financial Group, Inc.",Commitment removed,,,,,,,,2015-06-01 01:00:00
PG,Procter & Gamble,Procter & Gamble Company,Targets set,1.5°C,FY2030,,,Commitment removed,,"P&G commits to reduce absolute scope 1 and 2 GHG emissions 63% by FY2030 from a FY2015 base year. P&G commits to increase active annual sourcing of renewable electricity from 21% in FY2015 to 100% by FY2030.
P&G also commits to reduce scope 3 GHG emissions from purchased goods and services 40% per unit of production by FY2030 from a FY2020 base year.
P&G commits to reduce scope 3 GHG emissions from upstream transportation and distribution 50% per tonne-kilometer over the same timeframe",2023-11-09 01:00:00
PH,Parker Hannifin,Parker Hannifin Corporation,Targets set,1.5°C,FY2030,,,,,"Near-Term Targets: Parker Hannifin Corporation commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by FY2030 from a FY2019 base year. Parker Hannifin Corporation commits that 76% of its suppliers by emissions covering purchased goods and services, will have science-based targets by FY2030.",2025-09-04 01:00:00
PLD,Prologis,Prologis Inc.,Targets set,1.5°C,2030.0,Targets set,2040.0,Targets set,2040.0,"Overall Net-Zero Target: Prologis Inc. commits to reach net-zero GHG emissions across the value chain by 2040
Near-Term Targets: Prologis, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90.0% by 2030 from a 2019 base year*. Prologis, Inc. also commits to reduce absolute scope 3 GHG emissions 27.5% within the same timeframe*.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.
Long-Term Targets: Prologis, Inc. commits to maintain at least 90.0% absolute reduction of absolute scope 1 and 2 GHG emissions from 2030 through 2040 relative to a 2019 base year*. Prologis, Inc. also commits to reduce absolute scope 3 GHG emissions 90.0% within the same timeframe*. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.",2024-04-25 01:00:00
PLTR,Palantir Technologies,Palantir Technologies Inc.,Commitment removed,,,,,,,,2021-10-14 01:00:00
PM,Philip Morris International,Philip Morris International,Targets set,1.5°C,2030.0,Targets set,2040.0,Targets set,2040.0,"Overall Net-Zero Target:
Philip Morris International Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2040.

Near-Term Targets:
Energy and Industry:
Philip Morris International commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year.* Philip Morris International also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel- and energy-related activities, upstream transportation and distribution, waste generated in operations and business travel 27.5% within the same timeframe. Philip Morris International further commits that 15% of its suppliers by spend covering purchased goods and services will have science-based targets by 2025.

FLAG:
Philip Morris International commits to reduce absolute scope 3 FLAG GHG emissions 33.3% by 2030 from a 2019 base year.** Philip Morris International commits to no deforestation across its primary deforestation-linked commodities, with a target date of December 31, 2025.

Long-Term Targets:
Energy and Industry:
Philip Morris International commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2040 from a 2019 base year.* Philip Morris International also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.*

FLAG:
Philip Morris International commits to reduce absolute scope 3 FLAG GHG emissions 72% by 2040 from a 2019 base year.**

*The target boundary includes land-related emissions and removals from biogenic feedstocks. **The target includes FLAG emissions and removals.",2026-01-08 01:00:00
PPG,PPG Industries,"PPG Industries, Inc.",Targets set,1.5°C,2030.0,,,,,"""PPG Industries commits to reduce absolute scope 1 and 2 GHG emissions
50% by 2030 from a 2019 base year. PPG Industries also commits to
reduce absolute scope 3 GHG emissions from purchased goods and
services, processing of sold products, and end-of-life treatment of sold
products 30% within the same timeframe.""",2023-05-25 01:00:00
PTC,PTC Inc.,PTC Inc.,Targets set,1.5°C,FY2030,Targets set,FY2050,Targets set,FY2050,Overall Net-Zero Target: PTC Inc. commits to reach net-zero greenhouse gas emissions across the value chain by FY2050. Near-Term Targets: PTC commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2030 from a FY2022 base year. PTC also commits to reduce absolute scope 3 GHG emissions from purchased goods and services 25% within the same timeframe.   Long-Term Targets: PTC also commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2050 from a FY2022 base year.  PTC also commits to reduce absolute scope 3 GHG emissions 90%  within the same timeframe.,2024-09-12 01:00:00
PYPL,PayPal,PayPal,Targets set,1.5°C,2025.0,,,,,"PayPal Holdings, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2025 from a 2019 base year. PayPal Holdings, Inc. commits to reduce the absolute scope 3 GHG emissions from fuel and energy-related activities 25% over the same timeframe. PayPal Holdings Inc. also commits that 75% of its suppliers by spend covering purchased goods and services, capital goods, business travel, upstream transportation and distribution will have science-based targets by 2025.",2021-04-08 01:00:00
QCOM,Qualcomm,Qualcomm Incorporated,Targets set,1.5°C,FY2030,Targets set,FY2040,Targets set,FY2040,"Overall Net Zero target
Qualcomm Incorporated commits to reach net-zero greenhouse gas emissions across the
value chain by FY2040.
Near-Term Targets
Qualcomm Incorporated commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2030 from a FY2020 base year. Qualcomm Incorporated also commits to reduce absolute scope 3 GHG emissions 25% within the same timeframe.
Long-Term Target
Qualcomm Incorporated commits to reduce absolute scope 1, 2 and 3 GHG emissions 90%
by FY2040 from a FY2020 base year.",2023-10-05 01:00:00
REG,Regency Centers,Regency Centers Corporation,Targets set,Well-below 2°C,2030.0,,,,,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Regency Centers Corporation commits to reduce scope 1 and scope 2 GHG emissions 28% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions.",2022-04-28 01:00:00
RL,Ralph Lauren Corporation,Ralph Lauren Corporation,Targets set,1.5°C,FY2030,,,Commitment removed,,"Ralph Lauren commits to reduce absolute scope 1, 2, and 3 GHG emissions 30% by FY 2030 from a FY 2020 base year. Ralph Lauren commits to increase annual sourcing of renewable electricity from 2% in FY 2020 to 100% by FY 2025.",2020-12-03 01:00:00
RMD,ResMed,ResMed Inc,Commitment removed,,,,,Commitment removed,,,2023-02-23 01:00:00
ROK,Rockwell Automation,Rockwell Automation Inc.,Targets set,1.5°C,FY2033,Targets set,FY2050,Targets set,FY2050,"Overall Net-Zero Target:
Rockwell Automation Inc. commits to achieve net-zero greenhouse gas emissions across the value chain by FY2050.

Near-Term Targets:
Rockwell Automation Inc. commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by FY2033 from a FY2024 base year. Rockwell Automation Inc. also commits to reduce absolute scope 3 GHG emissions 32.5% within the same timeframe.

Long-Term Targets:
Rockwell Automation Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90.0% by FY2050 from a FY2024 base year. Rockwell Automation Inc. also commits to reduce absolute scope 3 GHG emissions 90.0% within the same timeframe.",2026-05-14 01:00:00
ROP,Roper Technologies,"Roper Technologies, Inc.",Commitment removed,,,,,,,,2024-05-02 01:00:00
RSG,Republic Services,Republic Services,Targets set,Well-below 2°C,2030.0,,,,,"Solid waste collection, transfer, disposal, recycling, and energy services provider Republic Services, commits to reduce absolute total Scope 1 and 2 GHG emissions 35% by 2030 from a 2017 baseline year*. *The target boundary includes biogenic emissions from biogenic feedstocks",2019-09-23 01:00:00
RVTY,Revvity,"Revvity, Inc.",Commitment removed,,,,,,,,2023-09-28 01:00:00
SBAC,SBA Communications,SBA Communications Corporation,Targets set,1.5°C,FY2033,,,,,"Near-Term Targets:
SBA Communications Corporation commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by FY2033 from a FY2023 base year.
SBA Communications Corporation also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel and energy related activities and downstream leased assets 32.5% within the same timeframe.",2025-08-28 01:00:00
SBUX,Starbucks,Starbucks,Targets set,1.5°C,FY2030,,,,,"Starbucks commits to reduce absolute scope 1, scope 2, and scope 3 GHG emissions 50% by FY2030 from a FY2019 base year.",2021-09-23 01:00:00
SNDK,Sandisk,Sandisk,Committed,,,,,Committed,,,2026-01-08 01:00:00
SNPS,Synopsys,"Synopsys, Inc.",Targets set,1.5°C,2032.0,,,,,"Synopsys commits to reduce absolute scope 1 and 2 GHG emissions 55% by
2032 from a 2019 base year. Synopsys also commits to reduce scope 3 GHG
emissions from employee commuting and business travel 62% per employee
within the same timeframe. Synopsys further commits to reduce scope 3 GHG
emissions from use of sold products 62% per lifetime verification task within
the same timeframe. Synopsys further commits that 45% of its suppliers by
spend, covering purchased goods and services, and capital goods, will have
science-based targets by 2027.",2023-09-28 01:00:00
SOLV,Solventum,SOLVENTUM CORPORATION,Committed,,,,,Committed,,,2025-03-13 01:00:00
